Line,Embryo,mem_pre,mem_post,cyt_pre,cyt_post
nwg206,E0,0.2863525504355138,0.3159678050397579,4.771853395855423,4.6272412446842015
nwg206,E1,0.27503748619941826,0.312974897979293,5.441676543577065,5.361810602383157
nwg206,E2,0.5558352223486127,0.47614517524913574,5.416454134315571,5.3164498140394985
nwg206,E3,0.5845361640984809,0.6223382641151513,4.773552489853453,4.7051750900188605
nwg206,E4,0.6058687144372927,0.680369686513008,4.5697665635911395,4.49953148506328
sv2061,E0,0.8848460614943703,2.7854970633120057,4.181005580597662,3.2114217527297018
sv2061,E1,0.7707792793811741,2.308728080274179,3.2498327950642807,2.4283399630833746
sv2061,E3,0.5922967685560317,2.4558221372772304,4.37129772282196,3.3887371626951692
sv2061,E4,0.6977506303608401,2.474828653114454,4.534357371813337,3.6712785276031186
sv2061,E5,0.5006845300936223,2.4025713993825146,3.9378998535274636,3.057768954077631
sv2061,E6,1.1518814258412426,3.0366895325001053,4.460315268055331,3.490646793133865
sv2061,E7,1.0891711206944843,2.924887377228856,4.147739610956207,3.221756463414761
sv2061,E8,0.8049565848021836,3.0549573067122657,4.296077223635553,3.2090634929081903
