,measurement_type,mass,uncertainty,input_concentration
0,Mn,11113.69427,636.0329629,500
1,Mp,12433.70804,628.2358853,500
2,Mv,,,500
3,Mw,11552.41951,606.3099694,500
4,Mz,11833.58914,1364.307785,500
5,Mz+1,12021.82253,2167.459908,500
6,M(avg),10572.29111,44.68688305,500
0,Mn,12154.95045,546.7656443,750
1,Mp,13143.09081,566.0866513,750
2,Mv,,,750
3,Mw,12593.99823,549.5017034,750
4,Mz,12878.25842,1259.068734,750
5,Mz+1,13109.71813,2073.709088,750
6,M(avg),11261.06368,42.90220721,750
0,Mn,14162.10947,700.8405584,2000
1,Mp,15359.19715,670.460431,2000
2,Mv,,,2000
3,Mw,14572.01023,729.1726592,2000
4,Mz,15074.1167,2063.453294,2000
5,Mz+1,16469.37333,6372.916656,2000
6,M(avg),13252.86203,51.51211045,2000
0,Mn,15414.15096,701.618162,5000
1,Mp,15749.33774,717.3426919,5000
2,Mv,,,5000
3,Mw,15571.28821,707.9606723,5000
4,Mz,15714.69787,1596.982991,5000
5,Mz+1,15844.48551,2573.975189,5000
6,M(avg),15163.17045,133.5775631,5000
0,Mn,15611.60786,897.3519736,10000
1,Mp,16767.34954,849.0040812,10000
2,Mv,,,10000
3,Mw,16092.31225,850.1883196,10000
4,Mz,16511.56917,2066.415041,10000
5,Mz+1,17205.02247,4323.634944,10000
6,M(avg),14764.2335,64.92591295,10000
